,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks*,82,19805,.446,12.1,.709,.326,.108,.128,.147,.291,.481,.532,.504,.344,.470,.359,.505,.043,259,.712,.146,.410,12,0
2,Boston Celtics,82,19905,.440,8.8,.809,.502,.090,.108,.109,.191,.461,.424,.514,.491,.556,.351,.542,.029,197,.822,.175,.438,2,0
3,Charlotte Hornets*,82,19805,.471,9.6,.782,.438,.073,.114,.156,.218,.483,.453,.511,.472,.565,.428,.627,.039,247,.876,.105,.614,4,0
4,Chicago Bulls*,82,19730,.473,11.8,.797,.293,.096,.205,.203,.203,.499,.527,.515,.448,.502,.373,.621,.043,291,.826,.088,.415,2,0
5,Cleveland Cavaliers,82,19855,.453,11.8,.785,.307,.121,.137,.220,.215,.474,.537,.449,.371,.463,.376,.594,.035,199,.816,.146,.372,6,0
6,Dallas Mavericks,82,19805,.436,11.1,.796,.321,.146,.154,.175,.204,.464,.556,.433,.351,.421,.327,.544,.042,257,.851,.143,.351,10,1
7,Denver Nuggets,82,19930,.439,12.2,.744,.280,.138,.146,.180,.256,.462,.514,.498,.399,.404,.372,.595,.049,295,.818,.101,.326,7,1
8,Detroit Pistons*,82,19830,.464,11.9,.754,.306,.114,.177,.157,.246,.488,.577,.423,.407,.455,.388,.459,.060,342,.899,.193,.386,7,0
9,Golden State Warriors,82,19905,.456,11.4,.792,.312,.144,.151,.185,.208,.483,.577,.441,.386,.438,.353,.578,.041,245,.765,.100,.404,4,0
10,Houston Rockets*,82,19855,.468,11.4,.716,.319,.167,.137,.094,.284,.509,.592,.499,.390,.421,.365,.615,.040,239,.833,.136,.430,12,2
11,Indiana Pacers,82,19930,.456,10.5,.819,.342,.157,.166,.155,.181,.472,.534,.458,.386,.445,.381,.579,.055,338,.809,.114,.341,6,1
12,Los Angeles Clippers*,82,19930,.446,11.0,.800,.350,.120,.154,.177,.200,.469,.532,.475,.365,.433,.354,.515,.054,342,.776,.087,.474,9,0
13,Los Angeles Lakers*,82,19930,.454,10.0,.774,.396,.161,.119,.098,.226,.480,.533,.478,.357,.417,.367,.587,.075,472,.717,.095,.458,7,0
14,Miami Heat*,82,19805,.453,11.8,.701,.298,.174,.128,.102,.299,.491,.582,.408,.369,.517,.364,.558,.057,339,.794,.171,.412,11,1
15,Milwaukee Bucks,82,19730,.471,10.1,.854,.339,.156,.216,.142,.146,.491,.558,.462,.399,.503,.352,.513,.043,255,.784,.104,.417,9,1
16,Minnesota Timberwolves*,82,19780,.456,11.1,.830,.322,.132,.157,.219,.170,.480,.550,.441,.408,.454,.339,.634,.059,356,.666,.127,.396,10,0
17,New Jersey Nets,82,19780,.422,11.0,.807,.349,.111,.171,.175,.193,.439,.498,.400,.351,.430,.353,.537,.045,296,.783,.099,.353,9,0
18,New York Knicks*,82,19855,.463,10.9,.792,.347,.128,.156,.160,.208,.489,.539,.508,.379,.472,.363,.595,.033,201,.796,.121,.404,9,0
19,Orlando Magic*,82,19855,.437,11.4,.744,.323,.154,.120,.146,.256,.470,.536,.464,.362,.418,.341,.525,.045,273,.875,.141,.466,10,0
20,Philadelphia 76ers,82,19780,.438,10.1,.802,.412,.102,.152,.136,.198,.468,.515,.503,.350,.430,.319,.539,.062,414,.716,.089,.471,7,0
21,Phoenix Suns*,82,19855,.469,11.1,.787,.335,.132,.160,.159,.213,.496,.594,.490,.353,.438,.369,.623,.034,219,.827,.147,.386,10,1
22,Portland Trail Blazers*,82,19855,.464,9.9,.783,.359,.205,.125,.095,.217,.493,.562,.447,.405,.453,.358,.527,.056,332,.782,.051,.352,5,0
23,Sacramento Kings,82,19855,.454,11.0,.840,.315,.159,.144,.222,.160,.466,.533,.468,.355,.441,.391,.567,.037,221,.800,.125,.462,5,0
24,San Antonio Spurs,82,19730,.442,10.0,.815,.417,.105,.121,.172,.185,.470,.508,.466,.364,.456,.320,.553,.044,261,.810,.117,.341,0,0
25,Seattle SuperSonics*,82,19780,.467,10.5,.753,.401,.127,.101,.124,.247,.504,.567,.459,.415,.420,.353,.583,.048,283,.909,.143,.379,8,0
26,Toronto Raptors,82,19830,.437,10.9,.755,.361,.134,.138,.123,.245,.461,.534,.420,.339,.428,.363,.554,.066,399,.740,.127,.325,9,1
27,Utah Jazz*,82,19830,.504,10.1,.855,.389,.111,.151,.204,.145,.526,.599,.476,.398,.509,.370,.688,.041,246,.817,.099,.483,3,0
28,Vancouver Grizzlies,82,19780,.437,10.9,.803,.337,.144,.155,.168,.197,.458,.530,.488,.356,.384,.349,.626,.051,305,.845,.137,.310,9,0
29,Washington Bullets*,82,19855,.480,9.7,.850,.369,.159,.190,.132,.150,.507,.567,.514,.406,.476,.331,.570,.063,414,.849,.191,.346,8,0
,League Average,82,19834,.455,10.8,.788,.351,.133,.148,.156,.212,.480,.536,.467,.385,.455,.360,.572,.048,294,.805,.126,.402,7.2,0.3